date,alignment,n_gates,spot_price,forward_ret_7d,forward_ret_30d,forward_vol_7d,forward_dd_7d,regime_alignment
2026-02-20 00:00:00+00:00,0.15882109444073556,9,68020.01,-3.157761958576588,-0.2367097564378362,8.594065730898159,-5.824550746170121,STABLE
2026-02-21 00:00:00+00:00,0.18102662262746747,9,67975.93,-1.4750368255351587,4.311114242938641,8.847799554210074,-5.763481279329308,STABLE
2026-02-22 00:00:00+00:00,0.17482191796448007,9,67643.4,-2.759958842991328,4.306909469364362,8.997226220947233,-5.3002214554561,STABLE
2026-02-23 00:00:00+00:00,0.16904661862814463,9,64656.02,6.455763902572409,10.332386682632189,8.77861152033717,-3.2528809478843512,STABLE
2026-02-24 00:00:00+00:00,0.18124704442806697,9,64058.15,6.681195132859741,7.43412040466358,8.728876474090102,-3.2528809478843512,STABLE
2026-02-25 00:00:00+00:00,0.21009703463515686,9,67988.04,6.881695662943077,-2.3250559951426664,8.867649273562531,-3.2528809478843512,TRANSITION
2026-02-26 00:00:00+00:00,0.19750004164297572,9,67485.18,5.04635239914899,-1.64206422802754,9.405772774424051,-2.5319781320876533,STABLE
2026-02-27 00:00:00+00:00,0.22697180400116004,9,65872.1,3.403443946678486,0.21075690618637122,10.100325193502734,-6.265243384286934,TRANSITION
2026-02-28 00:00:00+00:00,0.18728516046929608,9,66973.26,0.43248603995087453,-0.26262720375266335,10.141095680086993,-7.436494012325023,STABLE
2026-03-01 00:00:00+00:00,0.22478404721537118,9,65776.47,0.2960481156863537,3.8129288482644297,10.171252778899106,-9.214074053380939,TRANSITION
2026-03-02 00:00:00+00:00,0.22908565042428344,9,68830.06,-0.5780904447853064,-1.0404465723261036,9.727753528885923,-9.214074053380939,TRANSITION
2026-03-03 00:00:00+00:00,0.21897399142055116,9,68338.0,2.3568585560010513,-2.1013345430068164,9.925086900144034,-9.214074053380939,TRANSITION
2026-03-04 00:00:00+00:00,0.21942007277692116,9,72666.77,-3.4058346063819855,-7.847424620634714,7.165972515950675,-9.214074053380939,TRANSITION
2026-03-05 00:00:00+00:00,0.26393337105288106,9,70890.72,-0.4928430688812324,-5.0645556992509055,6.811959835324346,-6.9395825010664325,TRANSITION
2026-03-06 00:00:00+00:00,0.30078744901235993,9,68114.02,4.134214953103621,1.3509113101825232,5.096095457931155,-3.1459308964586263,TRANSITION
2026-03-07 00:00:00+00:00,0.32663946405054384,9,67262.91,5.871051371402158,2.3649735047145626,4.646481287501299,-1.920389706600567,TRANSITION
2026-03-08 00:00:00+00:00,0.2533435828285242,9,65971.2,10.374284536282508,9.023664871944126,3.493836507934405,0.0,TRANSITION
2026-03-09 00:00:00+00:00,0.2503377730475944,9,68432.16,9.429060839231141,3.854576561663392,2.867502418379237,0.0,TRANSITION
2026-03-10 00:00:00+00:00,0.2487498877829294,9,69948.63,5.662341063720611,2.629558291563394,3.6174466791474895,-1.302416101987225,TRANSITION
2026-03-11 00:00:00+00:00,0.26687278045172935,9,70191.86,1.502567391717502,3.947523259819574,5.730809992113606,-4.858310786440012,TRANSITION
2026-03-12 00:00:00+00:00,0.335692903416137,9,70541.34,-0.8666407527841091,3.5466011844969225,6.074347687747593,-6.616400926918686,TRANSITION
2026-03-13 00:00:00+00:00,0.3487281429380162,9,70930.0,-0.5911039052587164,-0.26648808684619496,6.115664467877697,-6.616400926918686,TRANSITION
2026-03-14 00:00:00+00:00,0.3347421825802823,9,71211.95,-3.2211307231440833,4.502109547625088,6.450643700625802,-7.9676521242598835,TRANSITION
2026-03-15 00:00:00+00:00,0.31617398792921925,9,72815.24,-6.8065970805012865,1.8077396984477412,5.671102258022198,-9.381986994133772,TRANSITION
2026-03-16 00:00:00+00:00,0.27001782680488323,9,74884.67,-5.312462483977032,-0.09972668638319471,7.042245745034283,-9.381986994133772,TRANSITION
2026-03-17 00:00:00+00:00,0.2556962792697803,9,73909.36,-4.536123706117867,1.6844010014428479,7.014190281981741,-8.186189137613963,TRANSITION
2026-03-18 00:00:00+00:00,0.2519173481151396,9,71246.54,0.12630788807428406,8.176481271932644,6.22248986244072,-4.754672998857201,TRANSITION
2026-03-19 00:00:00+00:00,0.2687691253536526,9,69930.0,-1.5868582868582948,8.23932503932503,6.995930472966277,-3.7607467686123774,TRANSITION
2026-03-20 00:00:00+00:00,0.27095378857697255,9,70510.73,-5.819610717404289,6.319548811932596,7.572212853488434,-6.9098538995378656,TRANSITION
2026-03-21 00:00:00+00:00,0.26442473595112975,9,68918.12,-3.687114506315603,,7.402488128345416,-6.952258541311163,TRANSITION
2026-03-22 00:00:00+00:00,0.27194804686230933,9,67859.0,-2.7233970438703903,,7.306733630994554,-7.465459842243527,TRANSITION
2026-03-23 00:00:00+00:00,0.29442749393979645,9,70906.45,-5.795072239549437,,5.188514144084397,-7.465459842243527,TRANSITION
2026-03-24 00:00:00+00:00,0.2581356095623022,9,70556.74,-3.2204719208965837,,6.038970500767575,-7.465459842243527,TRANSITION
2026-03-25 00:00:00+00:00,0.22815672936312026,9,71336.53,-4.517475128100568,,5.779903488937984,-7.465459842243527,TRANSITION
2026-03-26 00:00:00+00:00,0.1940782720227078,9,68820.31,-2.787432954021851,,4.967558068300659,-4.08219608426641,STABLE
2026-03-27 00:00:00+00:00,0.19662994560276098,9,66407.28,0.8387935780534983,,3.3825511668119077,-2.02460354095102,STABLE
2026-03-28 00:00:00+00:00,0.21456653547458285,9,66377.03,1.3911288287529633,,3.39437146047426,-2.02460354095102,TRANSITION
2026-03-29 00:00:00+00:00,0.22477801354299512,9,66010.93,4.579923355117099,,3.973155072113501,-2.02460354095102,TRANSITION
