volume_z_thr,rsi_thr,bb_thr,tp_exh_pct,tp_late_pct,n_exh,n_late,sharpe,win_rate,total_return,max_dd
0.5,65,0.92,1.0,1.8,26,4,2.4633017934356003,66.91176470588235,98.26144810259045,-19.81225098058812
0.5,65,0.92,1.2,1.5,26,4,2.5087663488665504,66.91176470588235,101.28132276930795,-19.812250980588118
0.5,65,0.92,1.5,1.5,26,4,2.559148922223935,66.91176470588235,105.4561694877815,-19.812250980588153
0.5,65,0.95,1.0,1.5,26,2,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,65,0.95,0.8,1.5,26,2,2.3703871018332245,66.91176470588235,92.82777706407217,-19.812250980588125
0.5,65,0.95,1.0,1.3,26,2,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,65,0.95,1.0,1.8,26,2,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,65,0.95,1.2,1.5,26,2,2.5338851588591913,66.91176470588235,103.26927439072837,-19.812250980588146
0.5,65,0.95,1.5,1.5,26,2,2.584064433456951,66.91176470588235,107.48535391306562,-19.812250980588153
0.5,65,0.98,1.0,1.5,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,65,0.98,0.8,1.5,26,0,2.3703871018332245,66.91176470588235,92.82777706407217,-19.812250980588125
0.5,65,0.98,1.0,1.3,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,65,0.98,1.0,1.8,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,65,0.98,1.2,1.5,26,0,2.5338851588591913,66.91176470588235,103.26927439072837,-19.812250980588146
0.5,65,0.98,1.5,1.5,26,0,2.584064433456951,66.91176470588235,107.48535391306562,-19.812250980588153
0.5,70,0.8,1.0,1.5,26,14,2.396458421716788,66.91176470588235,92.61237634193529,-19.812250980588185
0.5,70,0.8,0.8,1.5,26,14,2.292569533061904,66.91176470588235,86.5996060740641,-19.81225098058813
0.5,70,0.8,1.0,1.3,26,14,2.327938688333204,66.91176470588235,88.10703009988046,-19.812250980588118
0.5,70,0.8,1.0,1.8,26,14,2.453148348297255,66.91176470588235,97.08285070945244,-19.81225098058812
0.5,70,0.8,1.2,1.5,26,14,2.45821938985881,66.91176470588235,96.70385203718597,-19.812250980588143
0.5,70,0.8,1.5,1.5,26,14,2.509123497065318,66.91176470588235,100.78375582502889,-19.812250980588114
0.5,70,0.85,1.0,1.5,26,10,2.4348057891561554,66.91176470588235,95.4729097970229,-19.81225098058818
0.5,70,0.85,0.8,1.5,26,10,2.331395110845322,66.91176470588235,89.37084240902031,-19.812250980588146
0.5,70,0.85,1.0,1.3,26,10,2.3837579865721006,66.91176470588235,92.03359217439804,-19.812250980588143
0.5,70,0.85,1.0,1.8,26,10,2.467641408084134,66.91176470588235,98.2467228142443,-19.812250980588132
0.5,70,0.85,1.2,1.5,26,10,2.4962466322408554,66.91176470588235,99.62514899734613,-19.812250980588136
0.5,70,0.85,1.5,1.5,26,10,2.5468257861101313,66.91176470588235,103.76564443303833,-19.81225098058815
0.5,70,0.9,1.0,1.5,26,3,2.4476223350631137,66.91176470588235,97.09463485501742,-19.812250980588125
0.5,70,0.9,0.8,1.5,26,3,2.3447736235656835,66.91176470588235,90.94194216246987,-19.81225098058815
0.5,70,0.9,1.0,1.3,26,3,2.43635805969216,66.91176470588235,96.31867247886457,-19.812250980588185
0.5,70,0.9,1.0,1.8,26,3,2.4633017934356003,66.91176470588235,98.26144810259045,-19.81225098058812
0.5,70,0.9,1.2,1.5,26,3,2.5087663488665504,66.91176470588235,101.28132276930795,-19.812250980588118
0.5,70,0.9,1.5,1.5,26,3,2.559148922223935,66.91176470588235,105.4561694877815,-19.812250980588153
0.5,70,0.92,1.0,1.5,26,3,2.4476223350631137,66.91176470588235,97.09463485501742,-19.812250980588125
0.5,70,0.92,0.8,1.5,26,3,2.3447736235656835,66.91176470588235,90.94194216246987,-19.81225098058815
0.5,70,0.92,1.0,1.3,26,3,2.43635805969216,66.91176470588235,96.31867247886457,-19.812250980588185
0.5,70,0.92,1.0,1.8,26,3,2.4633017934356003,66.91176470588235,98.26144810259045,-19.81225098058812
0.5,70,0.92,1.2,1.5,26,3,2.5087663488665504,66.91176470588235,101.28132276930795,-19.812250980588118
0.5,70,0.92,1.5,1.5,26,3,2.559148922223935,66.91176470588235,105.4561694877815,-19.812250980588153
0.5,70,0.95,1.0,1.5,26,1,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,70,0.95,0.8,1.5,26,1,2.3703871018332245,66.91176470588235,92.82777706407217,-19.812250980588125
0.5,70,0.95,1.0,1.3,26,1,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,70,0.95,1.0,1.8,26,1,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,70,0.95,1.2,1.5,26,1,2.5338851588591913,66.91176470588235,103.26927439072837,-19.812250980588146
0.5,70,0.95,1.5,1.5,26,1,2.584064433456951,66.91176470588235,107.48535391306562,-19.812250980588153
0.5,70,0.98,1.0,1.5,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,70,0.98,0.8,1.5,26,0,2.3703871018332245,66.91176470588235,92.82777706407217,-19.812250980588125
0.5,70,0.98,1.0,1.3,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,70,0.98,1.0,1.8,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
