g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
0.3,-0.5,3.0,60,80,43,0.5462852689961082,41.86046511627907,0.06739637133426586,2.7658517445089403,-4.278168208280593,1.2258925149136461
-0.5,-0.5,2.5,55,80,64,0.5147509081381556,43.75,0.06104922169172743,3.742100170038687,-3.676072531859326,1.212684172704178
-0.5,-0.5,3.0,55,80,68,0.5100073345279857,44.11764705882353,0.05957738848671846,3.8842050014335605,-3.6760725318593224,1.209000337938926
0.0,-0.5,2.0,55,85,50,0.47144261116224623,42.0,0.05773517625392908,2.729147034861912,-2.9154033782043136,1.1968884462109564
0.0,0.3,3.0,50,85,49,0.4638369759413846,44.89795918367347,0.05544830028293674,2.567954216098234,-5.450067992306538,1.182311654674931
-0.5,-0.5,2.0,60,80,48,0.4512233814723707,43.75,0.05421221943299727,2.4522814897365075,-3.2193656261022885,1.1871397080195898
0.0,0.3,3.0,50,80,49,0.43409013183100714,44.89795918367347,0.05210855317319517,2.3987614198125895,-5.450067992306538,1.169469769641027
-0.5,0.0,2.0,50,80,54,0.4328010042462901,40.74074074074074,0.053114723248908674,2.6932437600547754,-4.903292832214721,1.1706206703383737
0.0,0.0,2.0,50,80,47,0.41169970622227264,40.42553191489361,0.04960065250550992,2.1780609041330834,-4.903292832214721,1.163863674348413
-0.5,0.0,2.0,50,85,54,0.3859476625513332,40.74074074074074,0.04706864030357321,2.3613820766779314,-4.903292832214721,1.1526851891343464
0.3,-0.5,2.5,60,80,40,0.3779578038559909,40.0,0.047891034905180895,1.764978942459261,-4.278168208280645,1.1513830831465768
-0.5,-0.5,3.0,55,85,70,0.3702573663366973,42.857142857142854,0.04275615150726954,2.789646889516262,-3.9070263038846837,1.1497464064616967
-0.5,-0.5,2.5,55,85,66,0.3684562755525327,42.42424242424242,0.04316391479822074,2.6490393213091767,-3.9070263038846877,1.1501485814260486
0.0,0.0,2.0,50,85,47,0.3567143873303991,40.42553191489361,0.04265408912150748,1.847864076627448,-4.903292832214721,1.1425543810656211
0.0,-0.5,3.0,55,85,59,0.34634560400639036,42.3728813559322,0.04031433652104966,2.195590059543706,-2.9154033782043247,1.1392838627076252
0.0,-0.5,2.0,60,85,43,0.34519477717516384,39.53488372093023,0.04183978150418681,1.6493115648162249,-4.170541208560303,1.1454168417688948
0.0,-0.5,2.5,55,85,55,0.34297512855203016,41.81818181818181,0.04062606592573875,2.055795110980352,-2.9154033782043136,1.1390988838533969
0.0,0.3,2.5,50,85,45,0.3323440841232551,42.22222222222222,0.040496684625664074,1.6633250254234566,-5.450067992306532,1.1295702379351082
-0.5,0.3,3.0,50,85,58,0.32912160153679615,43.103448275862064,0.03918470171360383,2.0814864868795135,-5.868789706299681,1.127454752406185
-0.5,0.3,3.0,50,80,58,0.30436093844206213,43.103448275862064,0.0363631912243394,1.9130961521037548,-5.868789706299681,1.117201710097636
0.0,0.3,2.5,50,80,45,0.3012053622306586,42.22222222222222,0.03686007110616769,1.4956244763366655,-5.450067992306532,1.1165783537766658
-0.5,-0.5,2.0,60,85,50,0.2613342664881593,42.0,0.030877094423917614,1.3728105943537239,-4.01246851758599,1.1064161642919619
