config,entry_ts,exit_ts,entry_price,exit_price,exit_reason,return_pct,hold_hours,close_ma21_ratio,volume_z
v1,2026-02-02 22:00:00+00:00,2026-02-03 00:00:00+00:00,105.02,103.96979999999999,TRAIL,-1.0000000000000036,2.0,1.0214297292916192,-0.6157330516119196
v1,2026-02-06 18:00:00+00:00,2026-02-06 19:00:00+00:00,86.17,86.2191,TRAIL,0.05698038760589034,1.0,1.0639397467104104,0.08042282874486088
v1,2026-02-06 23:00:00+00:00,2026-02-07 00:00:00+00:00,87.46,86.58539999999999,TRAIL,-1.000000000000001,1.0,1.049939975990396,0.23488890491377643
v1,2026-02-12 10:00:00+00:00,2026-02-12 12:00:00+00:00,82.19,81.3681,TRAIL,-0.9999999999999993,2.0,1.0250259821242986,-0.43197738867872865
v1,2026-02-13 14:00:00+00:00,2026-02-13 15:00:00+00:00,81.33,82.9566,TP,1.9999999999999956,1.0,1.0306865087986097,1.3071212589243855
v1,2026-02-14 09:00:00+00:00,2026-02-14 11:00:00+00:00,86.02,86.4171,TRAIL,0.4616368286445116,2.0,1.0184358297814764,0.002064553573563157
v1,2026-02-14 19:00:00+00:00,2026-02-14 21:00:00+00:00,88.2,87.318,TRAIL,-1.0000000000000056,2.0,1.0238636175187807,-0.8442525454167213
v1,2026-02-17 03:00:00+00:00,2026-02-17 05:00:00+00:00,86.37,85.50630000000001,TRAIL,-0.9999999999999934,2.0,1.011550087559814,-0.8032867160504302
v1,2026-02-20 17:00:00+00:00,2026-02-20 18:00:00+00:00,84.49,84.38759999999999,TRAIL,-0.12119777488460522,1.0,1.0139900903526669,1.151712356859447
v1,2026-02-21 11:00:00+00:00,2026-02-21 20:00:00+00:00,85.4,85.71419999999999,TRAIL,0.3679156908664934,9.0,1.0089394715078959,-0.768418740371491
v1,2026-02-25 05:00:00+00:00,2026-02-25 10:00:00+00:00,81.3,82.926,TP,2.0000000000000058,5.0,1.0321562653027911,0.3501721603649113
v1,2026-02-25 15:00:00+00:00,2026-02-25 16:00:00+00:00,85.98,86.6745,TRAIL,0.8077459874389286,1.0,1.052092437856169,2.512457193851827
v1,2026-02-28 21:00:00+00:00,2026-03-01 01:00:00+00:00,84.49,86.1798,TP,2.000000000000006,4.0,1.045668316831683,0.12611177176871174
v1,2026-03-02 15:00:00+00:00,2026-03-02 17:00:00+00:00,88.77,87.96149999999999,TRAIL,-0.9107806691449919,2.0,1.056863601059035,6.14958899394155
v1,2026-03-03 23:00:00+00:00,2026-03-04 03:00:00+00:00,86.97,86.3874,TRAIL,-0.6698861676440144,4.0,1.0222086651853428,0.5895612729746835
v1,2026-03-04 07:00:00+00:00,2026-03-04 08:00:00+00:00,87.43,89.1786,TP,1.9999999999999956,1.0,1.02248198434002,-0.11602487283374413
v1,2026-03-04 14:00:00+00:00,2026-03-04 15:00:00+00:00,90.19,91.9938,TP,1.999999999999995,1.0,1.032546652928381,2.1290878186325846
v1,2026-03-09 03:00:00+00:00,2026-03-09 05:00:00+00:00,83.16,83.42729999999999,TRAIL,0.3214285714285614,2.0,1.0093341270712803,0.4965416075472331
v1,2026-03-09 17:00:00+00:00,2026-03-09 19:00:00+00:00,85.09,86.79180000000001,TP,2.0000000000000067,2.0,1.0183218026602234,-0.12296318445275546
v1,2026-03-10 05:00:00+00:00,2026-03-10 12:00:00+00:00,86.4,86.3676,TRAIL,-0.03750000000001129,7.0,1.0129409006152232,-0.2718102452509269
v1,2026-03-10 17:00:00+00:00,2026-03-10 18:00:00+00:00,87.94,87.0606,TRAIL,-1.0000000000000044,1.0,1.0149488332215835,-0.07314341699157516
v1,2026-03-13 00:00:00+00:00,2026-03-13 02:00:00+00:00,89.78,89.5455,TRAIL,-0.26119402985074297,2.0,1.038662406346408,7.071183846203134
v1,2026-03-15 09:00:00+00:00,2026-03-15 13:00:00+00:00,88.54,87.66449999999999,TRAIL,-0.9888186130562644,4.0,1.0104504622006294,-0.6929460003185465
v1,2026-03-15 21:00:00+00:00,2026-03-15 22:00:00+00:00,90.0,91.8,TP,1.999999999999997,1.0,1.0194504676526748,0.3383996301169826
v1,2026-03-21 01:00:00+00:00,2026-03-21 15:00:00+00:00,89.87,89.5653,TRAIL,-0.3390452876377112,14.0,1.0067265530816256,-0.8473140557491404
v1,2026-03-23 11:00:00+00:00,2026-03-23 12:00:00+00:00,88.78,89.32770000000001,TRAIL,0.616918224825418,1.0,1.0248463593487176,9.305718763693934
v1,2026-03-23 17:00:00+00:00,2026-03-24 00:00:00+00:00,91.28,90.8721,TRAIL,-0.44686678352322295,7.0,1.0411714863015187,1.7594894974325257
v1,2026-03-25 05:00:00+00:00,2026-03-25 14:00:00+00:00,92.42,92.1096,TRAIL,-0.33585803938541586,9.0,1.0196167020404732,0.5869404616627887
v1,2026-03-28 16:00:00+00:00,2026-03-28 21:00:00+00:00,83.57,82.73429999999999,TRAIL,-1.0000000000000033,5.0,1.0066999753339947,-0.4499479902567089
v1,2026-03-30 03:00:00+00:00,2026-03-30 10:00:00+00:00,83.27,83.67479999999999,TRAIL,0.4861294583883686,7.0,1.014027416960475,0.7332780399325278
v1,2026-04-01 00:00:00+00:00,2026-04-01 02:00:00+00:00,83.4,82.566,TRAIL,-1.0000000000000036,2.0,1.0137704690294684,-0.01208484599700094
v1,2026-04-01 06:00:00+00:00,2026-04-01 08:00:00+00:00,84.45,83.6055,TRAIL,-0.9999999999999959,2.0,1.0237368168882373,0.720133762956597
v1,2026-04-01 16:00:00+00:00,2026-04-01 17:00:00+00:00,85.26,84.40740000000001,TRAIL,-0.9999999999999944,1.0,1.021899559954112,3.123583310588334
v1,2026-04-03 07:00:00+00:00,2026-04-03 12:00:00+00:00,79.96,79.3782,TRAIL,-0.7276138069034355,5.0,1.011962803816044,0.014014161739161564
